root,trades,start_ts,end_ts,symbol_count,notional,signed_ratio,side_n_notional_share,median_trade_size,p99_trade_size,median_trade_notional,p99_trade_notional,exact_duplicate_extra_rows
GC,82365734,2023-06-22 00:00:04.064891+00:00,2026-06-21 23:59:56.082051+00:00,64,43387546583190.0,-0.0019232354431474028,0.04038998404691902,1.0,9.0,399060.0,2635680.0,394104.0
SI,29540740,2023-06-22 00:00:03.966970+00:00,2026-06-21 23:59:52.143142+00:00,56,10554313075800.0,-0.0013141405130194783,0.038510592317178495,1.0,10.0,247950.00000000003,1895800.0000000005,142396.0
HG,25318855,2023-06-22 00:00:00.162726+00:00,2026-06-21 23:59:56.506287+00:00,62,5043377371400.0,-0.002764656615142301,0.06935241457361074,1.0,10.0,126212.5,1060560.5000000447,134913.0
PL,13719194,2023-06-22 00:01:10.756358+00:00,2026-06-21 23:58:25.144921+00:00,47,1279003117430.0,-0.0031350012954283906,0.06217857903255072,1.0,7.0,69405.0,415320.00000000006,29539.0
PA,2386009,2023-06-22 00:33:24.040162+00:00,2026-06-21 23:55:48.277942+00:00,45,412751643700.0,-0.007527513693581446,0.0356019940181767,1.0,6.0,128600.0,694050.0,5255.0
